No Urut;Program Pendidikan;Program Studi (Prodi);Peringkat Akreditasi;Nomor SK Akreditasi;Tahun SK;Masa Berlaku Akreditasi;Link Sertifikat
1;Sarjana;Teknik Sipil;Unggul;0830/SK/LAM Teknik/AS/XII/2024;2024;21 Desember 2024 s.d 20 Desember 2029;https://drive.google.com/file/d/14UwgSKioX72wj3Lfeu9nJsvZS9vlgAN2/view?usp=sharing
2;Sarjana;Teknik Mesin;Baik Sekali;2611/SK/BAN-PT/AK-ISK/S/IV/2022;2022;26 April 2022 s.d 22 Maret 2027;https://drive.google.com/file/d/12VnupWBZEY5I-ZgiD0bTWOy3Py-c49lD/view?usp=sharing
3;Sarjana;Teknik Industri;B;13774/SK/BAN-PT/Ak-PPJ/S/XII/2021;2021;11 Januari 2022 s.d 11 Januari 2027;https://drive.google.com/file/d/1weSr9Y4S0Lp6bDZqji--qtDIwL9RNN13/view?usp=sharing
4;Sarjana;Teknik Kimia;Baik Sekali;11944/SK/BAN-PT/Ak-PPJ/S/X/2021;2021;21 Oktober 2021 s.d 21 Oktober 2026;https://drive.google.com/file/d/1Nmq-6Z6q7_2DCLUpo1buACpIZCDZ6ymR/view?usp=sharing
5;Sarjana;Teknik Elektro;Baik Sekali;0151/SK/LAM Teknik/AS/XII/2022;2022;21 Desember 2022 s.d 20 Desember 2027;https://drive.google.com/file/d/1KjwxgfQJZMNVGfZyQqdRCzz16Qu_1Qh9/view?usp=sharing
6;Sarjana;Arsitektur;Baik Sekali;3540/SK/BAN-PT/Ak-PPJ/S/VI/2022;2022;26 April 2022 s.d 26 April 2027;https://drive.google.com/file/d/1uX39GRg42VXHRPxPlbRJAGSp3uf6Aca3/view?usp=sharing
7;Sarjana;Teknik Informatika;Baik Sekali;3063/SK/BAN-PT/Ak/S/VIII/2023;2023;01 Agustus 2023 s.d 01 Agustus 2028;https://drive.google.com/file/d/1BifPdnrt5MwAlGr9FLdqs2lDB_rVtElY/view?usp=sharing
8;Sarjana;Sistem Informasi;Baik Sekali;035/SK/LAM-INFOKOM/Ak/5/XII/2022;2022;12 Desember 2022 s.d 12 Desember 2027;https://drive.google.com/file/d/1O4928_OtTRt-gAY7vfp-RvlLR7GXrmYn/view?usp=sharing
9;Sarjana;Teknik Material;Baik;1896/SK/BAN-PT/Ak/S/V/2023;2023;23 Mei 2023 s.d 23 Mei 2028;https://drive.google.com/file/d/1NbSWUp0Xp_2uappZMkXDJ3XC2IuVV4gI/view?usp=sharing
10;Sarjana;Teknik Logistik;Baik;0168/SK/LAM Teknik/AS/XII/2022;2022;21 Desember 2022 s.d 20 Desember 2027;https://drive.google.com/file/d/1bemkpPn19nYVGOqQm_gqVp54P6vau_q9/view?usp=sharing
11;Profesi;Program Profesi Insinyur;Baik;0382/SK/LAM Teknik/PB.PI/VII/2025;2025;2 Tahun Sejak Penerimaan Mahasiswa Baru;https://drive.google.com/file/d/1fIjqfxqKf4MKcV8aw7T6EATn2_B_oZk9/view?usp=sharing
12;Magister;Teknik Energi Terbarukan;Unggul;0242/SK/LAM Teknik/AM/IV/2025;2025;21 April 2025 s.d 20 April 2030;https://drive.google.com/file/d/1nCAO04NqNQniJTtpBbBLXKdLYWAauwfr/view?usp=sharing
13;Magister;Teknologi Informasi;Baik;009/SK/LAM-INFOKOM/Ak.P/M/XII/2022;2022;05 Desember 2022 s.d 05 Desember 2027;https://drive.google.com/file/d/1oQew-GyYuYS5W-z6I2bpmal42FYxFX5f/view?usp=sharing
14;Magister;Teknik Sipil;Baik Sekali;0117/SK/LAM Teknik/AM/XII/2022;2022;21 Desember 2022 s.d 20 Desember 2027;https://drive.google.com/file/d/1uzG9lTHM_HPUCaC1ysxKAz1mU2iiOydB/view?usp=sharing
15;Sarjana;Administrasi Publik;Baik Sekali;5496/SK/BAN-PT/Ak/S/VIII/2024;2024;19 Agustus 2024 s.d 19 Agustus 2029;https://drive.google.com/file/d/1xNkH-DTxDfOyXa683VyH2Xkq29pMyJ6a/view?usp=sharing
16;Sarjana;Ilmu Politik;Baik Sekali;6811/SK/BAN-PT/Ak.KP/S/XI/2024;2024;12 November 2024 s.d 11 Agustus 2025;https://drive.google.com/file/d/1d78BCEKbgG0E5WWADikrCLtKivuDw-uS/view?usp=sharing
17;Sarjana;Antropologi;Baik Sekali;255/SK/BAN-PT/Ak.KP/S/II/2025;2025;11 Februari 2025 s.d 24 Mei 2027;https://drive.google.com/file/d/1dxF78AKv_1Vijfn2FooYTyS6ng7C4GiB/view?usp=sharing
18;Sarjana;Ilmu Komunikasi;Baik Sekali;11559/SK/BAN-PT/AK-ISK/S/X/2021;2021;12 Oktober 2021 s.d 17 November 2025;https://drive.google.com/file/d/1iNWUi1aLAVRAWtI1VKebKuW1Tvj8ZKT8/view?usp=sharing
19;Sarjana;Sosiologi;Unggul;6471/SK/BAN-PT/Ak/S/X/2024;2024;22 Oktober 2024 s.d 22 Oktober 2029;https://drive.google.com/file/d/1v1kwMHPGIbhy54So7TTmt7X4b3-cVHWV/view?usp=sharing
20;Sarjana;Administrasi Bisnis;Baik Sekali;612/DE/A.5/AR.10/VIII/2023;2023;16 Agustus 2023 s.d 16 Agustus 2028;https://drive.google.com/file/d/1Xft2x7Aizf3l1nz3rYSH4KPCimREsD5e/view?usp=sharing
21;Magister;Administrasi Publik;Unggul;5083/SK/BAN-PT/Ak/M/VII/2024;2024;23 Juli 2024 s.d 23 Juli 2029;https://drive.google.com/file/d/1XG_GEld6T627IxPZ3TZ8ZWzCOlukuKxy/view?usp=sharing
22;Magister;Sosiologi;Unggul;5497/SK/BAN-PT/Ak/M/VIII/2024;2024;19 Agustus 2024 s.d 19 Agustus 2029;https://drive.google.com/file/d/1P0N4jMfU8uBsM83etKbZz1a-L8BlWUK3/view?usp=sharing
23;Magister;Ilmu Komunikasi;Minimum;Prodi Baru;2025;;
24;Sarjana;Ilmu Kelautan;Baik;11856/SK/BAN-PT/Akred/S/X/2021;2021;26 Oktober 2021 s.d 26 Oktober 2026;https://drive.google.com/file/d/1wDXHXGnShKikQpFS4zLOMWw71OakygR8/view?usp=sharing
